Region,Region_Name,Period,Secondary Culture,Area (ha),Culture,Cultivation practices,Type of crop,Sowing method,Sowing method name,Variety Name,Variety type,Variety type name,Variety cycle,Cultivation conditions,Cultivation_condition,Cause of poor conditions,Quantity of seeds used (kg),Classified seed quantity (kg),Type of spacing,Type of irrigation,Type of irrigation name,Quantity of organic fertiliser (kg),Quantity of chemical fertiliser (kg),Quantity of plant protection product (L),Agricultural Equipment,Agricultural Equipment Name,Harvester used,Destination production,Destination production name,Technical support,Technical support name,Estimated production (tonnes),Number of growing days,Dry weight (g/m2) /1001,Humidity level/10 (%),Weight of rice without moisture (g/m2) /1000,Yield (T/Ha)
4,Boeny,1,0,0.47,1,1,1,2,In-line transplanting,61,2,Local/traditional variety,2,1,Very poor,3,11,1,3,3,Rain water irrigation,37.13,14.1,2.35,1,Manual Equipment,2,1,Sale,2,Seed Donation,1.88,70,0.09024,0.18,0.090077568,0.90077568
3,Diana,2,0,2.19,1,1,3,1,Random transplanting,61,2,Local/traditional variety,2,1,Very poor,3,118,2,4,2,Motorised irrigation,304.41,76.65,15.33,2,Animal Drawn Equipment,1,2,Self-Consumption,2,Seed Donation,8.76,122,0.042048,0.36,0.041896627,0.418966272
5,Vatovavy,1,0,0.46,1,1,1,2,In-line transplanting,61,2,Local/traditional variety,2,2,Poor,2,21,1,4,3,Rain water irrigation,16.56,12.88,1.38,1,Manual Equipment,2,1,Sale,1,Financial aid,2.3,33,0.08832,0.19,0.088152192,0.88152192
2,Itasy,2,0,1.41,1,1,2,2,In-line transplanting,61,2,Local/traditional variety,2,3,Average,2,67,1,4,1,Gravity irrigation,193.17,149.46,11.28,2,Animal Drawn Equipment,1,3,Both,2,Seed Donation,7.05,118,0.027072,0.17,0.027025978,0.270259776
4,Boeny,1,0,0.61,1,1,1,1,Random transplanting,61,2,Local/traditional variety,2,1,Very poor,3,13,1,3,3,Rain water irrigation,72.59,48.8,1.22,1,Manual Equipment,2,1,Sale,2,Seed Donation,3.05,70,0.011712,0.22,0.011686234,0.116862336
2,Itasy,2,0,4.28,1,1,3,3,Broadcast sowing,61,2,Local/traditional variety,2,3,Average,3,125,2,4,2,Motorised irrigation,552.12,248.24,17.12,3,Motorized Equipment,1,2,Self-Consumption,1,Financial aid,17.12,89,0.481928,0.13,0.481301494,4.813014936
4,Boeny,1,0,0.3,1,1,1,2,In-line transplanting,61,2,Local/traditional variety,2,2,Poor,3,18,1,4,3,Rain water irrigation,17.4,29.7,2.1,1,Manual Equipment,2,1,Sale,1,Financial aid,0.9,51,0.0576,0.14,0.05751936,0.5751936
5,Vatovavy,1,0,0.3,1,1,1,1,Random transplanting,61,2,Local/traditional variety,2,1,Very poor,3,9,1,3,3,Rain water irrigation,15,17.4,0.9,1,Manual Equipment,2,1,Sale,1,Financial aid,1.2,57,0.0576,0.17,0.05750208,0.5750208
1,Bongolava,2,0,5.33,1,1,3,4,Direct row sowing,61,2,Local/traditional variety,2,4,Good,0,479,5,2,2,Motorised irrigation,634.27,266.5,31.98,2,Animal Drawn Equipment,1,2,Self-Consumption,2,Seed Donation,21.32,177,0.600158,0.23,0.598777637,5.987776366
4,Boeny,1,0,0.42,1,1,1,4,Direct row sowing,61,2,Local/traditional variety,2,3,Average,2,36,1,2,3,Rain water irrigation,52.08,4.62,2.94,1,Manual Equipment,2,1,Sale,2,Seed Donation,1.68,28,0.08064,0.17,0.080502912,0.80502912
2,Itasy,2,0,4.95,1,1,2,4,Direct row sowing,61,2,Local/traditional variety,2,5,Very Good,0,462,5,1,1,Gravity irrigation,257.4,495,29.7,2,Animal Drawn Equipment,1,2,Self-Consumption,3,Training,14.85,93,0.55737,0.18,0.556366734,5.56366734
5,Vatovavy,1,0,0.64,1,1,1,3,Broadcast sowing,61,2,Local/traditional variety,2,1,Very poor,2,24,1,4,3,Rain water irrigation,46.08,28.8,5.76,1,Manual Equipment,2,1,Sale,1,Financial aid,1.92,83,0.012288,0.21,0.012262195,0.122621952
4,Boeny,1,0,0.37,1,1,1,3,Broadcast sowing,61,2,Local/traditional variety,2,1,Very poor,3,14,1,3,3,Rain water irrigation,52.54,19.24,1.48,1,Manual Equipment,2,1,Sale,2,Seed Donation,1.85,37,0.07104,0.17,0.070919232,0.70919232
1,Bongolava,2,0,1.9,1,1,2,3,Broadcast sowing,61,2,Local/traditional variety,2,4,Good,0,69,1,4,1,Gravity irrigation,199.5,24.7,7.6,2,Animal Drawn Equipment,1,2,Self-Consumption,1,Financial aid,7.6,80,0.03648,0.12,0.036436224,0.36436224
1,Bongolava,2,0,4.61,1,1,3,3,Broadcast sowing,61,2,Local/traditional variety,2,2,Poor,2,105,2,3,1,Gravity irrigation,64.54,285.82,27.66,2,Animal Drawn Equipment,1,2,Self-Consumption,2,Seed Donation,18.44,166,0.519086,0.19,0.518099737,5.180997366
3,Diana,2,0,3.12,1,1,3,2,In-line transplanting,61,2,Local/traditional variety,2,2,Poor,3,149,2,3,2,Motorised irrigation,127.92,287.04,15.6,2,Animal Drawn Equipment,1,2,Self-Consumption,4,Support/Advice,15.6,109,0.351312,0.18,0.350679638,3.506796384
3,Diana,2,0,1.97,1,1,2,1,Random transplanting,61,2,Local/traditional variety,2,3,Average,2,80,1,3,2,Motorised irrigation,287.62,11.82,5.91,2,Animal Drawn Equipment,1,2,Self-Consumption,1,Financial aid,5.91,121,0.037824,0.16,0.037763482,0.377634816
2,Itasy,2,0,4.32,1,1,2,3,Broadcast sowing,61,2,Local/traditional variety,2,4,Good,0,255,3,3,2,Motorised irrigation,444.96,259.2,30.24,2,Animal Drawn Equipment,1,2,Self-Consumption,5,Vulgarisation,17.28,164,0.486432,0.22,0.48536185,4.853618496
4,Boeny,1,0,0.55,1,1,1,4,Direct row sowing,61,2,Local/traditional variety,2,1,Very poor,3,33,1,1,3,Rain water irrigation,71.5,10.45,0.55,1,Manual Equipment,2,1,Sale,1,Financial aid,2.75,49,0.01056,0.18,0.010540992,0.10540992
4,Boeny,1,0,0.2,1,1,1,1,Random transplanting,61,2,Local/traditional variety,2,1,Very poor,2,12,1,3,3,Rain water irrigation,3.2,17,1.2,1,Manual Equipment,2,1,Sale,2,Seed Donation,0.6,87,0.0134,0.18,0.01337588,0.1337588
3,Diana,2,0,2.2,1,1,2,2,In-line transplanting,61,2,Local/traditional variety,2,2,Poor,3,104,2,4,2,Motorised irrigation,290.4,92.4,19.8,2,Animal Drawn Equipment,1,2,Self-Consumption,4,Support/Advice,6.6,177,0.04224,0.12,0.042189312,0.42189312
4,Boeny,1,0,0.8,1,1,1,3,Broadcast sowing,61,2,Local/traditional variety,2,1,Very poor,2,24,1,3,3,Rain water irrigation,34.4,70.4,4,1,Manual Equipment,2,1,Sale,2,Seed Donation,2.4,66,0.01536,0.13,0.015340032,0.15340032
4,Boeny,1,0,0.37,1,1,1,2,In-line transplanting,61,2,Local/traditional variety,2,1,Very poor,3,17,1,4,3,Rain water irrigation,35.52,5.18,1.48,1,Manual Equipment,2,1,Sale,2,Seed Donation,1.48,56,0.07104,0.13,0.070947648,0.70947648
1,Bongolava,2,0,4.33,1,1,2,3,Broadcast sowing,61,2,Local/traditional variety,2,5,Very Good,0,88,1,3,2,Motorised irrigation,562.9,428.67,34.64,3,Motorized Equipment,1,2,Self-Consumption,2,Seed Donation,17.32,169,0.487558,0.13,0.486924175,4.869241746
3,Diana,2,0,2.63,1,1,2,4,Direct row sowing,61,2,Local/traditional variety,2,1,Very poor,3,242,3,1,2,Motorised irrigation,168.32,99.94,2.63,2,Animal Drawn Equipment,1,2,Self-Consumption,5,Vulgarisation,10.52,135,0.296138,0.19,0.295575338,2.955753378
5,Vatovavy,1,0,0.19,1,1,1,4,Direct row sowing,61,2,Local/traditional variety,2,3,Average,3,12,1,1,3,Rain water irrigation,26.6,11.21,0.76,1,Manual Equipment,2,1,Sale,1,Financial aid,0.57,25,0.023648,0.36,0.023562867,0.235628672
3,Diana,2,0,3.34,1,1,3,4,Direct row sowing,61,2,Local/traditional variety,2,1,Very poor,3,215,3,2,1,Gravity irrigation,233.8,280.56,26.72,2,Animal Drawn Equipment,1,3,Both,1,Financial aid,13.36,106,0.376084,0.22,0.375256615,3.752566152
5,Vatovavy,1,0,0.26,1,1,1,1,Random transplanting,61,2,Local/traditional variety,2,1,Very poor,2,11,1,4,3,Rain water irrigation,14.3,21.84,2.6,1,Manual Equipment,2,1,Sale,1,Financial aid,1.04,70,0.04992,0.18,0.049830144,0.49830144
1,Bongolava,2,0,1.88,1,1,2,3,Broadcast sowing,61,2,Local/traditional variety,2,3,Average,3,91,1,3,2,Motorised irrigation,54.52,178.6,18.8,2,Animal Drawn Equipment,1,3,Both,2,Seed Donation,5.64,150,0.036096,0.22,0.036016589,0.360165888
2,Itasy,2,0,3.83,1,1,3,4,Direct row sowing,61,2,Local/traditional variety,2,4,Good,0,278,3,2,1,Gravity irrigation,245.12,80.43,38.3,2,Animal Drawn Equipment,1,2,Self-Consumption,4,Support/Advice,15.32,138,0.431258,0.14,0.430654239,4.306542388
4,Boeny,1,0,0.61,1,1,1,2,In-line transplanting,61,2,Local/traditional variety,2,3,Average,3,18,1,3,3,Rain water irrigation,87.23,65.27,1.22,1,Manual Equipment,2,1,Sale,1,Financial aid,1.83,78,0.011712,0.18,0.011690918,0.116909184
1,Bongolava,2,0,2.4,1,1,2,2,In-line transplanting,61,2,Local/traditional variety,2,2,Poor,3,75,1,4,2,Motorised irrigation,76.8,86.4,16.8,2,Animal Drawn Equipment,1,3,Both,1,Financial aid,12,122,0.04608,0.15,0.04601088,0.4601088
4,Boeny,1,0,0.56,1,1,1,1,Random transplanting,61,2,Local/traditional variety,2,1,Very poor,3,17,1,4,3,Rain water irrigation,26.32,54.88,4.48,1,Manual Equipment,2,1,Sale,1,Financial aid,1.68,29,0.010752,0.12,0.010739098,0.107390976
2,Itasy,2,0,3.77,1,1,2,2,In-line transplanting,61,2,Local/traditional variety,2,5,Very Good,0,80,1,3,2,Motorised irrigation,335.53,75.4,26.39,2,Animal Drawn Equipment,1,2,Self-Consumption,4,Support/Advice,11.31,137,0.424502,0.2,0.423652996,4.23652996
2,Itasy,2,0,2.75,1,1,3,4,Direct row sowing,61,2,Local/traditional variety,2,3,Average,2,191,2,1,2,Motorised irrigation,231,280.5,19.25,2,Animal Drawn Equipment,1,2,Self-Consumption,3,Training,8.25,185,0.30965,0.36,0.30853526,3.0853526
1,Bongolava,2,0,2.26,1,1,3,1,Random transplanting,61,2,Local/traditional variety,2,5,Very Good,0,74,1,4,1,Gravity irrigation,264.42,74.58,2.26,2,Animal Drawn Equipment,1,2,Self-Consumption,1,Financial aid,11.3,158,0.043392,0.16,0.043322573,0.433225728
2,Itasy,2,0,1.95,1,1,2,1,Random transplanting,61,2,Local/traditional variety,2,3,Average,2,93,1,4,1,Gravity irrigation,167.7,27.3,1.95,2,Animal Drawn Equipment,1,3,Both,1,Financial aid,7.8,111,0.03744,0.18,0.037372608,0.37372608
5,Vatovavy,1,0,0.76,1,1,1,2,In-line transplanting,61,2,Local/traditional variety,2,3,Average,3,33,1,3,3,Rain water irrigation,42.56,83.6,1.52,1,Manual Equipment,2,1,Sale,2,Seed Donation,3.8,53,0.014592,0.2,0.014562816,0.14562816
2,Itasy,2,0,2.68,1,1,2,3,Broadcast sowing,61,2,Local/traditional variety,2,3,Average,3,135,2,3,2,Motorised irrigation,259.96,21.44,2.68,2,Animal Drawn Equipment,1,2,Self-Consumption,1,Financial aid,8.04,170,0.301768,0.23,0.301073934,3.010739336
4,Boeny,1,0,0.7,1,1,1,4,Direct row sowing,61,2,Local/traditional variety,2,3,Average,3,53,1,1,3,Rain water irrigation,99.4,57.4,7,1,Manual Equipment,2,1,Sale,2,Seed Donation,3.5,40,0.01344,0.17,0.013417152,0.13417152
4,Boeny,1,0,0.84,1,1,1,4,Direct row sowing,61,2,Local/traditional variety,2,2,Poor,3,84,1,1,3,Rain water irrigation,34.44,65.52,0.84,1,Manual Equipment,2,1,Sale,1,Financial aid,4.2,87,0.016128,0.19,0.016097357,0.160973568
4,Boeny,1,0,0.28,1,1,1,4,Direct row sowing,61,2,Local/traditional variety,2,2,Poor,3,28,1,1,3,Rain water irrigation,8.68,16.52,2.8,1,Manual Equipment,2,1,Sale,1,Financial aid,1.12,76,0.05376,0.14,0.053684736,0.53684736
4,Boeny,1,0,0.99,1,1,1,4,Direct row sowing,61,2,Local/traditional variety,2,3,Average,3,92,1,1,3,Rain water irrigation,75.24,79.2,8.91,1,Manual Equipment,2,3,Both,1,Financial aid,3.96,54,0.019008,0.16,0.018977587,0.189775872
5,Vatovavy,1,0,0.81,1,1,1,1,Random transplanting,61,2,Local/traditional variety,2,1,Very poor,3,24,1,3,3,Rain water irrigation,20.25,19.44,0.81,1,Manual Equipment,2,1,Sale,1,Financial aid,3.24,29,0.015552,0.14,0.015530227,0.155302272
3,Diana,2,0,3.83,1,1,2,4,Direct row sowing,61,2,Local/traditional variety,2,3,Average,2,317,4,1,1,Gravity irrigation,45.96,306.4,11.49,2,Animal Drawn Equipment,1,2,Self-Consumption,5,Vulgarisation,15.32,133,0.431258,0.19,0.43043861,4.304386098
1,Bongolava,2,0,3.97,1,1,2,1,Random transplanting,61,2,Local/traditional variety,2,3,Average,3,86,1,4,1,Gravity irrigation,357.3,71.46,3.97,2,Animal Drawn Equipment,1,2,Self-Consumption,5,Vulgarisation,15.88,174,0.447022,0.36,0.445412721,4.454127208
4,Boeny,1,0,0.87,1,1,1,3,Broadcast sowing,61,2,Local/traditional variety,2,3,Average,3,33,1,3,3,Rain water irrigation,61.77,37.41,5.22,1,Manual Equipment,2,1,Sale,1,Financial aid,3.48,75,0.016704,0.21,0.016668922,0.166689216
2,Itasy,2,0,4.31,1,1,2,1,Random transplanting,61,2,Local/traditional variety,2,4,Good,0,112,2,4,1,Gravity irrigation,116.37,206.88,34.48,3,Motorized Equipment,1,2,Self-Consumption,4,Support/Advice,17.24,159,0.485306,0.2,0.484335388,4.84335388
4,Boeny,1,0,0.87,1,1,1,1,Random transplanting,61,2,Local/traditional variety,2,1,Very poor,3,19,1,3,3,Rain water irrigation,39.15,7.83,6.96,1,Manual Equipment,2,1,Sale,1,Financial aid,2.61,33,0.016704,0.16,0.016677274,0.166772736
2,Itasy,2,0,3.52,1,1,2,4,Direct row sowing,61,2,Local/traditional variety,2,3,Average,3,290,3,2,2,Motorised irrigation,264,176,7.04,2,Animal Drawn Equipment,1,2,Self-Consumption,1,Financial aid,17.6,130,0.396352,0.21,0.395519661,3.955196608
2,Itasy,2,0,4.65,1,1,2,1,Random transplanting,61,2,Local/traditional variety,2,5,Very Good,0,160,2,3,1,Gravity irrigation,153.45,176.7,13.95,3,Motorized Equipment,1,2,Self-Consumption,5,Vulgarisation,18.6,182,0.52359,0.15,0.522804615,5.22804615
4,Boeny,1,0,0.15,1,1,1,4,Direct row sowing,61,2,Local/traditional variety,2,2,Poor,2,11,1,1,3,Rain water irrigation,2.25,7.8,1.05,1,Manual Equipment,2,1,Sale,2,Seed Donation,0.75,72,0.0288,0.15,0.0287568,0.287568
5,Vatovavy,1,0,0.45,1,1,1,3,Broadcast sowing,61,2,Local/traditional variety,2,3,Average,2,16,1,3,3,Rain water irrigation,46.8,22.05,0.45,1,Manual Equipment,2,1,Sale,2,Seed Donation,2.25,43,0.0864,0.17,0.08625312,0.8625312
2,Itasy,2,0,3.17,1,1,2,2,In-line transplanting,61,2,Local/traditional variety,2,3,Average,3,118,2,4,1,Gravity irrigation,469.16,107.78,25.36,2,Animal Drawn Equipment,1,2,Self-Consumption,3,Training,12.68,166,0.356942,0.2,0.356228116,3.56228116
2,Itasy,2,0,3.07,1,1,2,2,In-line transplanting,61,2,Local/traditional variety,2,5,Very Good,0,184,2,3,1,Gravity irrigation,52.19,260.95,18.42,2,Animal Drawn Equipment,1,2,Self-Consumption,3,Training,15.35,182,0.345682,0.14,0.345198045,3.451980452
4,Boeny,1,0,0.84,1,1,1,1,Random transplanting,61,2,Local/traditional variety,2,1,Very poor,2,42,1,3,3,Rain water irrigation,42,33.6,5.88,1,Manual Equipment,2,1,Sale,2,Seed Donation,3.36,51,0.016128,0.18,0.01609897,0.160989696
2,Itasy,2,0,1.99,1,1,3,1,Random transplanting,61,2,Local/traditional variety,2,5,Very Good,0,71,1,3,2,Motorised irrigation,185.07,25.87,3.98,2,Animal Drawn Equipment,1,2,Self-Consumption,2,Seed Donation,5.97,87,0.038208,0.17,0.038143046,0.381430464
2,Itasy,2,0,2.63,1,1,2,2,In-line transplanting,61,2,Local/traditional variety,2,5,Very Good,0,87,1,3,1,Gravity irrigation,341.9,231.44,23.67,2,Animal Drawn Equipment,1,3,Both,2,Seed Donation,10.52,198,0.296138,0.21,0.29551611,2.955161102
4,Boeny,1,0,0.69,1,1,1,3,Broadcast sowing,61,2,Local/traditional variety,2,2,Poor,2,22,1,3,3,Rain water irrigation,69,34.5,1.38,1,Manual Equipment,2,1,Sale,1,Financial aid,2.07,24,0.013248,0.16,0.013226803,0.132268032
4,Boeny,1,0,0.31,1,1,1,4,Direct row sowing,61,2,Local/traditional variety,2,1,Very poor,2,19,1,1,3,Rain water irrigation,34.1,29.14,1.55,1,Manual Equipment,2,1,Sale,1,Financial aid,1.55,39,0.05952,0.22,0.059389056,0.59389056
1,Bongolava,2,0,4.96,1,1,2,3,Broadcast sowing,61,2,Local/traditional variety,2,3,Average,2,187,2,3,2,Motorised irrigation,620,312.48,4.96,3,Motorized Equipment,1,2,Self-Consumption,5,Vulgarisation,24.8,180,0.558496,0.2,0.557379008,5.57379008
5,Vatovavy,1,0,0.61,1,1,1,2,In-line transplanting,61,2,Local/traditional variety,2,1,Very poor,3,30,1,4,3,Rain water irrigation,65.27,50.02,4.27,1,Manual Equipment,2,1,Sale,1,Financial aid,3.05,68,0.011712,0.18,0.011690918,0.116909184
5,Vatovavy,1,0,0.58,1,1,1,1,Random transplanting,61,2,Local/traditional variety,2,1,Very poor,3,22,1,4,3,Rain water irrigation,17.98,16.24,1.16,1,Manual Equipment,2,1,Sale,1,Financial aid,2.32,22,0.011136,0.19,0.011114842,0.111148416
2,Itasy,2,0,3.71,1,1,3,4,Direct row sowing,61,2,Local/traditional variety,2,3,Average,2,281,3,1,2,Motorised irrigation,467.46,51.94,18.55,2,Animal Drawn Equipment,1,2,Self-Consumption,3,Training,18.55,98,0.417746,0.22,0.416826959,4.168269588
5,Vatovavy,1,0,0.92,1,1,1,2,In-line transplanting,61,2,Local/traditional variety,2,2,Poor,2,19,1,4,3,Rain water irrigation,134.32,98.44,3.68,1,Manual Equipment,2,3,Both,2,Seed Donation,2.76,69,0.017664,0.18,0.017632205,0.176322048
2,Itasy,2,0,3.72,1,1,3,1,Random transplanting,61,2,Local/traditional variety,2,4,Good,0,89,1,4,1,Gravity irrigation,416.64,208.32,29.76,2,Animal Drawn Equipment,1,2,Self-Consumption,1,Financial aid,11.16,155,0.418872,0.17,0.418159918,4.181599176
1,Bongolava,2,0,2.47,1,1,2,4,Direct row sowing,61,2,Local/traditional variety,2,5,Very Good,0,215,3,1,2,Motorised irrigation,308.75,71.63,19.76,2,Animal Drawn Equipment,1,2,Self-Consumption,2,Seed Donation,12.35,107,0.047424,0.23,0.047314925,0.473149248
4,Boeny,1,0,0.26,1,1,1,2,In-line transplanting,61,2,Local/traditional variety,2,1,Very poor,3,7,1,4,3,Rain water irrigation,28.34,22.88,2.34,1,Manual Equipment,2,1,Sale,1,Financial aid,1.3,57,0.04992,0.36,0.049740288,0.49740288
4,Boeny,1,0,0.16,1,1,1,3,Broadcast sowing,61,2,Local/traditional variety,2,2,Poor,2,6,1,3,3,Rain water irrigation,10.24,0.8,0.32,1,Manual Equipment,2,1,Sale,1,Financial aid,0.64,51,0.03072,0.13,0.030680064,0.30680064
4,Boeny,1,0,0.16,1,1,1,4,Direct row sowing,61,2,Local/traditional variety,2,1,Very poor,2,12,1,1,3,Rain water irrigation,12.48,5.76,0.16,1,Manual Equipment,2,1,Sale,1,Financial aid,0.64,54,0.03072,0.18,0.030664704,0.30664704
5,Vatovavy,1,0,0.75,1,1,1,2,In-line transplanting,61,2,Local/traditional variety,2,3,Average,2,30,1,3,3,Rain water irrigation,78,0.75,5.25,1,Manual Equipment,2,1,Sale,1,Financial aid,3.75,84,0.0144,0.18,0.01437408,0.1437408
1,Bongolava,2,0,5.63,1,1,2,1,Random transplanting,61,2,Local/traditional variety,2,4,Good,0,280,3,3,1,Gravity irrigation,326.54,292.76,45.04,3,Motorized Equipment,1,2,Self-Consumption,5,Vulgarisation,22.52,190,0.633938,0.36,0.631655823,6.316558232
5,Vatovavy,1,0,0.61,1,1,1,1,Random transplanting,61,2,Local/traditional variety,2,1,Very poor,2,24,1,4,3,Rain water irrigation,14.64,24.4,2.44,1,Manual Equipment,2,1,Sale,1,Financial aid,2.44,69,0.011712,0.18,0.011690918,0.116909184
5,Vatovavy,1,0,0.4,1,1,1,4,Direct row sowing,61,2,Local/traditional variety,2,1,Very poor,2,37,1,2,3,Rain water irrigation,53.6,5.2,0.4,1,Manual Equipment,2,1,Sale,1,Financial aid,1.2,61,0.0768,0.22,0.07663104,0.7663104
1,Bongolava,2,0,1.2,1,1,3,4,Direct row sowing,61,2,Local/traditional variety,2,4,Good,0,111,2,2,1,Gravity irrigation,78,94.8,7.2,2,Animal Drawn Equipment,1,3,Both,1,Financial aid,3.6,81,0.02304,0.19,0.022996224,0.22996224
1,Bongolava,2,0,6.26,1,1,3,4,Direct row sowing,61,2,Local/traditional variety,2,3,Average,3,466,5,1,1,Gravity irrigation,81.38,444.46,62.6,2,Animal Drawn Equipment,1,2,Self-Consumption,0,None,25.04,199,0.704876,0.12,0.704030149,7.040301488
1,Bongolava,2,0,2.23,1,1,2,4,Direct row sowing,61,2,Local/traditional variety,2,2,Poor,3,196,2,1,1,Gravity irrigation,274.29,185.09,8.92,2,Animal Drawn Equipment,1,3,Both,1,Financial aid,11.15,184,0.042816,0.1,0.042773184,0.42773184
1,Bongolava,2,0,3.26,1,1,3,4,Direct row sowing,61,2,Local/traditional variety,2,3,Average,2,306,4,1,1,Gravity irrigation,149.96,130.4,22.82,2,Animal Drawn Equipment,1,2,Self-Consumption,2,Seed Donation,13.04,178,0.367076,0.18,0.366415263,3.664152632
4,Boeny,1,0,0.68,1,1,1,1,Random transplanting,61,2,Local/traditional variety,2,3,Average,3,14,1,4,3,Rain water irrigation,70.72,53.72,5.44,1,Manual Equipment,2,1,Sale,2,Seed Donation,2.72,58,0.013056,0.11,0.013041638,0.130416384
3,Diana,2,0,2.94,1,1,3,2,In-line transplanting,61,2,Local/traditional variety,2,3,Average,2,119,2,4,2,Motorised irrigation,76.44,138.18,8.82,2,Animal Drawn Equipment,1,2,Self-Consumption,4,Support/Advice,11.76,117,0.331044,0.12,0.330646747,3.306467472
3,Diana,2,0,3.51,1,1,2,4,Direct row sowing,61,2,Local/traditional variety,2,3,Average,2,334,4,2,2,Motorised irrigation,126.36,214.11,3.51,2,Animal Drawn Equipment,1,2,Self-Consumption,4,Support/Advice,10.53,196,0.395226,0.18,0.394514593,3.945145932
1,Bongolava,2,0,1.3,1,1,3,1,Random transplanting,61,2,Local/traditional variety,2,4,Good,0,67,1,3,2,Motorised irrigation,20.8,75.4,2.6,2,Animal Drawn Equipment,1,2,Self-Consumption,1,Financial aid,6.5,179,0.02496,0.17,0.024917568,0.24917568
3,Diana,2,0,1.67,1,1,3,2,In-line transplanting,61,2,Local/traditional variety,2,1,Very poor,3,94,1,4,1,Gravity irrigation,111.89,168.67,15.03,2,Animal Drawn Equipment,1,3,Both,1,Financial aid,8.35,169,0.032064,0.17,0.032009491,0.320094912
3,Diana,2,0,2.48,1,1,3,2,In-line transplanting,61,2,Local/traditional variety,2,3,Average,3,101,2,4,2,Motorised irrigation,138.88,252.96,7.44,2,Animal Drawn Equipment,1,3,Both,3,Training,12.4,85,0.047616,0.13,0.047554099,0.475540992
1,Bongolava,2,0,4.38,1,1,3,2,In-line transplanting,61,2,Local/traditional variety,2,3,Average,3,211,3,3,2,Motorised irrigation,297.84,411.72,43.8,3,Motorized Equipment,1,2,Self-Consumption,3,Training,21.9,134,0.493188,0.11,0.492645493,4.926454932
